scenario,t,agent,queue_length,average_waiting_time,open_counters,reward,cumulative_reward
easy,68,baseline,7.0,2.0504479238621074,1.0,-3.800447923862108,-310.10931941566275
easy,69,baseline,9.0,2.240358339089686,1.0,-4.440358339089686,-314.54967775475245
easy,70,baseline,10.0,2.458953337938416,1.0,-4.808953337938416,-319.35863109269087
easy,71,baseline,9.0,2.567162670350733,1.0,-4.717162670350733,-324.0757937630416
easy,72,baseline,11.0,2.7870634696139196,1.0,-5.33706346961392,-329.4128572326555
easy,73,baseline,14.0,3.1629841090244692,1.0,-6.31298410902447,-335.72584134167994
easy,74,baseline,13.0,3.397053953886242,1.0,-6.347053953886242,-342.0728952955662
easy,75,baseline,15.0,3.7176431631089937,1.0,-7.067643163108993,-349.14053845867517
easy,76,baseline,11.0,3.340781197153862,2.0,-6.290781197153862,-355.43131965582904
easy,77,baseline,10.0,3.005958291056423,2.0,-5.755958291056423,-361.18727794688544
easy,78,baseline,9.0,2.7047666328451383,2.0,-5.204766632845138,-366.39204457973057
easy,79,baseline,12.0,2.563813306276111,2.0,-5.663813306276111,-372.05585788600666
easy,80,baseline,9.0,2.351050645020889,2.0,-4.851050645020889,-376.90690853102757
easy,81,baseline,5.0,2.0475071826833777,2.0,-3.7475071826833775,-380.65441571371093
easy,82,baseline,4.0,1.904672412813369,1.0,-3.104672412813369,-383.7590881265243
easy,83,baseline,6.0,1.9237379302506952,1.0,-3.4737379302506954,-387.232826056775
easy,84,baseline,6.0,1.938990344200556,1.0,-3.538990344200556,-390.7718164009756
easy,85,baseline,8.0,2.0845256086937782,1.0,-4.034525608693778,-394.8063420096694
easy,86,baseline,8.0,2.200953820288356,1.0,-4.150953820288356,-398.95729582995773
easy,87,baseline,9.0,2.360763056230685,1.0,-4.510763056230685,-403.46805888618843
easy,88,baseline,7.0,2.3552771116512146,1.0,-4.105277111651215,-407.57333599783965
easy,89,baseline,7.0,2.3508883559876383,1.0,-4.100888355987639,-411.6742243538273
easy,90,baseline,9.0,2.480710684790111,1.0,-4.630710684790111,-416.30493503861743
easy,91,baseline,12.0,2.784568547832089,1.0,-5.534568547832089,-421.8395035864495
easy,92,baseline,14.0,3.160988171599005,1.0,-6.310988171599005,-428.1504917580485
easy,93,baseline,15.0,3.528790537279204,1.0,-6.878790537279205,-435.0292822953277
easy,94,baseline,13.0,3.2563657631566967,2.0,-6.606365763156696,-441.6356480584844
easy,95,baseline,18.0,3.2050926105253574,2.0,-7.5550926105253575,-449.19074066900976
easy,96,baseline,18.0,2.964074088420286,3.0,-7.664074088420285,-456.85481475743006
easy,97,baseline,13.0,2.5879259374028956,4.0,-6.587925937402895,-463.44274069483293
easy,98,baseline,4.0,2.1370074165889834,4.0,-4.387007416588983,-467.8297481114219
easy,99,baseline,0.0,1.7096059332711868,3.0,-2.8096059332711865,-470.6393540446931
easy,100,baseline,0.0,1.3676847466169495,2.0,-2.0676847466169495,-472.7070387913101
easy,1,dqn,0.0,0.0,3.0,-1.0999999999999999,-1.0999999999999999
easy,2,dqn,0.0,0.0,4.0,-1.4,-2.5
easy,3,dqn,0.0,0.0,5.0,-1.75,-4.25
easy,4,dqn,0.0,0.0,6.0,-2.0999999999999996,-6.35
easy,5,dqn,0.0,0.0,6.0,-2.0999999999999996,-8.45
easy,6,dqn,0.0,0.0,6.0,-2.0999999999999996,-10.549999999999999
easy,7,dqn,0.0,0.0,6.0,-2.0999999999999996,-12.649999999999999
easy,8,dqn,0.0,0.0,6.0,-2.0999999999999996,-14.749999999999998
easy,9,dqn,0.0,0.0,6.0,-2.0999999999999996,-16.849999999999998
easy,10,dqn,0.0,0.0,6.0,-2.0999999999999996,-18.949999999999996
easy,11,dqn,0.0,0.0,6.0,-2.0999999999999996,-21.049999999999997
easy,12,dqn,0.0,0.0,6.0,-2.0999999999999996,-23.15
easy,13,dqn,0.0,0.0,6.0,-2.0999999999999996,-25.25
easy,14,dqn,0.0,0.0,6.0,-2.0999999999999996,-27.35
easy,15,dqn,0.0,0.0,6.0,-2.0999999999999996,-29.450000000000003
easy,16,dqn,0.0,0.0,6.0,-2.0999999999999996,-31.550000000000004
easy,17,dqn,0.0,0.0,6.0,-2.0999999999999996,-33.650000000000006
easy,18,dqn,0.0,0.0,6.0,-2.0999999999999996,-35.75000000000001
easy,19,dqn,0.0,0.0,6.0,-2.0999999999999996,-37.85000000000001
easy,20,dqn,0.0,0.0,6.0,-2.0999999999999996,-39.95000000000001
easy,21,dqn,0.0,0.0,6.0,-2.0999999999999996,-42.05000000000001
easy,22,dqn,0.0,0.0,6.0,-2.0999999999999996,-44.15000000000001
easy,23,dqn,0.0,0.0,6.0,-2.0999999999999996,-46.250000000000014
easy,24,dqn,0.0,0.0,6.0,-2.0999999999999996,-48.350000000000016
easy,25,dqn,0.0,0.0,6.0,-2.0999999999999996,-50.45000000000002
easy,26,dqn,0.0,0.0,6.0,-2.0999999999999996,-52.55000000000002
easy,27,dqn,0.0,0.0,6.0,-2.0999999999999996,-54.65000000000002
easy,28,dqn,0.0,0.0,6.0,-2.0999999999999996,-56.75000000000002
easy,29,dqn,0.0,0.0,6.0,-2.0999999999999996,-58.85000000000002
easy,30,dqn,0.0,0.0,6.0,-2.0999999999999996,-60.950000000000024
easy,31,dqn,0.0,0.0,6.0,-2.0999999999999996,-63.050000000000026
easy,32,dqn,0.0,0.0,6.0,-2.0999999999999996,-65.15000000000002
easy,33,dqn,0.0,0.0,6.0,-2.0999999999999996,-67.25000000000001
easy,34,dqn,0.0,0.0,6.0,-2.0999999999999996,-69.35000000000001
easy,35,dqn,0.0,0.0,6.0,-2.0999999999999996,-71.45
easy,36,dqn,0.0,0.0,6.0,-2.0999999999999996,-73.55
easy,37,dqn,0.0,0.0,6.0,-2.0999999999999996,-75.64999999999999
easy,38,dqn,0.0,0.0,6.0,-2.0999999999999996,-77.74999999999999
easy,39,dqn,0.0,0.0,6.0,-2.0999999999999996,-79.84999999999998
easy,40,dqn,0.0,0.0,6.0,-2.0999999999999996,-81.94999999999997
easy,41,dqn,0.0,0.0,6.0,-2.0999999999999996,-84.04999999999997
easy,42,dqn,0.0,0.0,6.0,-2.0999999999999996,-86.14999999999996
easy,43,dqn,0.0,0.0,6.0,-2.0999999999999996,-88.24999999999996
easy,44,dqn,0.0,0.0,6.0,-2.0999999999999996,-90.34999999999995
easy,45,dqn,0.0,0.0,6.0,-2.0999999999999996,-92.44999999999995
easy,46,dqn,0.0,0.0,6.0,-2.0999999999999996,-94.54999999999994
easy,47,dqn,0.0,0.0,6.0,-2.0999999999999996,-96.64999999999993
easy,48,dqn,0.0,0.0,6.0,-2.0999999999999996,-98.74999999999993
easy,49,dqn,0.0,0.0,6.0,-2.0999999999999996,-100.84999999999992
easy,50,dqn,0.0,0.0,6.0,-2.0999999999999996,-102.94999999999992
easy,51,dqn,0.0,0.0,6.0,-2.0999999999999996,-105.04999999999991
easy,52,dqn,0.0,0.0,6.0,-2.0999999999999996,-107.1499999999999
easy,53,dqn,0.0,0.0,6.0,-2.0999999999999996,-109.2499999999999
easy,54,dqn,0.0,0.0,6.0,-2.0999999999999996,-111.3499999999999
easy,55,dqn,0.0,0.0,6.0,-2.0999999999999996,-113.44999999999989
easy,56,dqn,0.0,0.0,6.0,-2.0999999999999996,-115.54999999999988
easy,57,dqn,0.0,0.0,6.0,-2.0999999999999996,-117.64999999999988
easy,58,dqn,0.0,0.0,6.0,-2.0999999999999996,-119.74999999999987
easy,59,dqn,0.0,0.0,6.0,-2.0999999999999996,-121.84999999999987
easy,60,dqn,0.0,0.0,6.0,-2.0999999999999996,-123.94999999999986
easy,61,dqn,0.0,0.0,6.0,-2.0999999999999996,-126.04999999999986
easy,62,dqn,0.0,0.0,6.0,-2.0999999999999996,-128.14999999999986
easy,63,dqn,0.0,0.0,6.0,-2.0999999999999996,-130.24999999999986
easy,64,dqn,0.0,0.0,6.0,-2.0999999999999996,-132.34999999999985
easy,65,dqn,0.0,0.0,6.0,-2.0999999999999996,-134.44999999999985
easy,66,dqn,0.0,0.0,6.0,-2.0999999999999996,-136.54999999999984
easy,67,dqn,0.0,0.0,6.0,-2.0999999999999996,-138.64999999999984
easy,68,dqn,0.0,0.0,6.0,-2.0999999999999996,-140.74999999999983
easy,69,dqn,0.0,0.0,6.0,-2.0999999999999996,-142.84999999999982
easy,70,dqn,0.0,0.0,6.0,-2.0999999999999996,-144.94999999999982
easy,71,dqn,0.0,0.0,6.0,-2.0999999999999996,-147.0499999999998
easy,72,dqn,0.0,0.0,6.0,-2.0999999999999996,-149.1499999999998
easy,73,dqn,0.0,0.0,6.0,-2.0999999999999996,-151.2499999999998
easy,74,dqn,0.0,0.0,6.0,-2.0999999999999996,-153.3499999999998
easy,75,dqn,0.0,0.0,6.0,-2.0999999999999996,-155.4499999999998
easy,76,dqn,0.0,0.0,6.0,-2.0999999999999996,-157.54999999999978
easy,77,dqn,0.0,0.0,6.0,-2.0999999999999996,-159.64999999999978
easy,78,dqn,0.0,0.0,6.0,-2.0999999999999996,-161.74999999999977
easy,79,dqn,0.0,0.0,6.0,-2.0999999999999996,-163.84999999999977
easy,80,dqn,0.0,0.0,6.0,-2.0999999999999996,-165.94999999999976
easy,81,dqn,0.0,0.0,6.0,-2.0999999999999996,-168.04999999999976
easy,82,dqn,0.0,0.0,6.0,-2.0999999999999996,-170.14999999999975
easy,83,dqn,0.0,0.0,6.0,-2.0999999999999996,-172.24999999999974
easy,84,dqn,0.0,0.0,6.0,-2.0999999999999996,-174.34999999999974
easy,85,dqn,0.0,0.0,6.0,-2.0999999999999996,-176.44999999999973
easy,86,dqn,0.0,0.0,6.0,-2.0999999999999996,-178.54999999999973
easy,87,dqn,0.0,0.0,6.0,-2.0999999999999996,-180.64999999999972
easy,88,dqn,0.0,0.0,6.0,-2.0999999999999996,-182.74999999999972
easy,89,dqn,0.0,0.0,6.0,-2.0999999999999996,-184.8499999999997
easy,90,dqn,0.0,0.0,6.0,-2.0999999999999996,-186.9499999999997
easy,91,dqn,0.0,0.0,6.0,-2.0999999999999996,-189.0499999999997
easy,92,dqn,0.0,0.0,6.0,-2.0999999999999996,-191.1499999999997
easy,93,dqn,0.0,0.0,6.0,-2.0999999999999996,-193.2499999999997
easy,94,dqn,0.0,0.0,6.0,-2.0999999999999996,-195.34999999999968
easy,95,dqn,0.0,0.0,6.0,-2.0999999999999996,-197.44999999999968
easy,96,dqn,0.0,0.0,6.0,-2.0999999999999996,-199.54999999999967
