scenario,agent,episodes,mean_episode_reward,mean_queue_length,mean_waiting_time,mean_open_counters,mean_steps
easy,baseline,2,-444.74565442254277,8.530000000000001,2.222706544225428,1.44,100.0
easy,dqn,2,-207.95,0.0,0.0,5.94,100.0
medium,baseline,2,-487.0220300243255,9.5075,2.1104703002432545,2.4000000000000004,100.0
medium,dqn,2,-274.8833333333265,0.0025,0.00033333333326543223,7.85,100.0
hard,baseline,2,-526.432239570399,10.948999999999996,1.6900223957039906,3.905,100.0
hard,dqn,2,-343.6786363635623,0.031999999999999994,0.003386363635622896,9.79,100.0
